"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mike Trout","LAA","134","600","45","110","104","11","18.3%","20.0%",".353",".298",".291",".438",".645",".436",".460","177","7.1","65.9","-1.5","8.4","10155"
"Alex Bregman","HOU","156","690","41","122","112","5","17.2%","12.0%",".296",".281",".296",".423",".592",".418",".373","167","-2.1","57.3","1.7","8.1","17678"
"Cody Bellinger","LAD","156","660","47","121","115","15","14.4%","16.4%",".324",".302",".305",".406",".629",".415",".430","161","1.4","54.2","4.5","7.7","15998"
"Christian Yelich","MIL","130","580","44","100","97","30","13.8%","20.3%",".342",".355",".329",".429",".671",".442",".429","174","8.5","65.2","-9.5","7.2","11477"
"Anthony Rendon","WSN","146","646","34","117","126","5","12.4%","13.3%",".279",".323",".319",".412",".598",".413",".414","155","0.4","47.1","2.4","6.8","12861"
"Rafael Devers","BOS","156","702","32","129","115","8","6.8%","17.0%",".244",".339",".311",".361",".555",".377",".368","132","2.3","31.3","11.9","6.7","17350"
"Marcus Semien","OAK","162","747","33","123","92","10","11.6%","13.7%",".237",".294",".285",".369",".522",".373",".363","138","1.7","37.7","2.7","6.5","12533"
"Nolan Arenado","COL","155","662","41","102","118","3","9.4%","14.0%",".269",".312",".315",".379",".583",".392",".343","130","2.5","28.3","17.3","6.5","9777"
"Mookie Betts","BOS","150","706","29","135","80","16","13.7%","14.3%",".229",".309",".295",".391",".524",".380",".411","135","5.6","36.8","3.4","6.4","13611"
"Trevor Story","COL","145","656","35","111","85","23","8.8%","26.5%",".260",".361",".294",".363",".554",".380",".341","122","5.9","25.0","19.1","6.3","12564"
"George Springer","HOU","122","556","39","96","96","6","12.1%","20.3%",".299",".305",".292",".383",".591",".400",".400","155","0.9","40.1","4.3","6.3","12856"
"Ketel Marte","ARI","144","628","32","97","92","10","8.4%","13.7%",".264",".342",".329",".389",".592",".405",".375","150","4.2","45.5","-1.5","6.2","13613"
"Xander Bogaerts","BOS","155","698","33","110","117","4","10.9%","17.5%",".246",".338",".309",".384",".555",".390",".355","141","1.0","37.5","-1.7","5.9","12161"
"DJ LeMahieu","NYY","145","655","26","109","102","5","7.0%","13.7%",".191",".349",".327",".375",".518",".375",".376","136","-0.8","29.4","7.1","5.8","9874"
"Francisco Lindor","CLE","143","654","32","101","74","22","7.0%","15.0%",".234",".291",".284",".335",".518",".349",".333","118","-2.0","13.0","23.5","5.8","12916"
"Javier Baez","CHC","138","561","29","89","85","11","5.0%","27.8%",".250",".345",".281",".316",".531",".347",".336","112","1.2","10.4","31.8","5.8","12979"
"Matt Chapman","OAK","156","670","36","102","91","1","10.9%","21.9%",".257",".270",".249",".342",".506",".354",".358","125","0.9","22.6","12.1","5.7","16505"
"Juan Soto","WSN","150","659","34","110","110","12","16.4%","20.0%",".266",".312",".282",".401",".548",".394",".409","143","-0.5","36.5","1.0","5.7","20123"
"J.T. Realmuto","PHI","145","593","25","92","83","9","6.9%","20.7%",".217",".309",".275",".328",".493",".340",".341","107","5.4","11.1","27.5","5.6","11739"
"Yoan Moncada","CHW","132","559","25","83","79","10","7.2%","27.5%",".233",".406",".315",".367",".548",".379",".358","139","3.5","31.5","5.1","5.5","17232"
"Ronald Acuna Jr.","ATL","156","715","41","127","101","37","10.6%","26.3%",".238",".337",".280",".365",".518",".369",".390","125","8.1","32.1","0.9","5.4","18401"
"Yasmani Grandal","MIL","153","632","28","79","77","5","17.2%","22.0%",".222",".279",".246",".380",".468",".361",".366","121","-5.1","12.5","21.6","5.3","11368"
"Josh Donaldson","ATL","155","659","37","96","94","4","15.2%","23.5%",".262",".292",".259",".379",".521",".377",".385","131","-3.0","24.0","8.2","5.2","5038"
"Jeff McNeil","NYM","133","567","23","83","75","5","6.2%","13.2%",".214",".337",".318",".384",".531",".384",".350","144","-2.9","30.1","1.4","4.8","15362"
"Max Muncy","LAD","141","589","35","101","98","4","15.3%","25.3%",".265",".283",".251",".374",".515",".372",".380","133","4.8","30.3","0.4","4.8","13301"
"Carlos Santana","CLE","158","686","34","110","93","4","15.7%","15.7%",".234",".293",".281",".397",".515",".380",".367","138","1.5","35.2","-10.7","4.8","2396"
"Kris Bryant","CHC","147","634","31","108","77","4","11.7%","22.9%",".239",".331",".282",".382",".521",".379",".349","134","3.8","31.9","-4.0","4.7","15429"
"Austin Meadows","TBR","138","591","33","83","89","12","9.1%","22.2%",".268",".331",".291",".364",".558",".380",".375","144","-1.0","32.2","-7.0","4.5","15672"
"Tim Anderson","CHW","123","518","18","81","56","17","2.9%","21.0%",".173",".399",".335",".357",".508",".363",".325","128","1.7","20.4","7.4","4.5","15172"
"Pete Alonso","NYM","161","693","53","103","120","1","10.4%","26.4%",".323",".280",".260",".358",".583",".384",".380","144","-2.2","37.9","-14.4","4.4","19251"
"Freddie Freeman","ATL","158","692","38","113","121","6","12.6%","18.4%",".255",".318",".295",".389",".549",".387",".397","137","-0.1","34.0","-10.9","4.4","5361"
"Michael Conforto","NYM","151","648","33","90","92","7","13.0%","23.0%",".237",".290",".257",".363",".494",".358",".371","127","1.4","24.4","-0.1","4.4","16376"
"Nelson Cruz","MIN","120","521","41","81","108","0","10.7%","25.1%",".328",".351",".311",".392",".639",".417",".415","164","-4.5","38.1","-12.3","4.3","2434"
"Jose Altuve","HOU","124","548","31","89","74","6","7.5%","15.0%",".252",".303",".298",".353",".550",".374",".344","137","-5.0","21.1","3.3","4.3","5417"
"Eugenio Suarez","CIN","159","662","49","87","103","3","10.6%","28.5%",".301",".312",".271",".358",".572",".381",".355","130","-6.2","20.4","1.9","4.2","12552"
"Ozzie Albies","ATL","160","702","24","102","86","15","7.7%","16.0%",".205",".325",".295",".352",".500",".354",".349","116","4.8","19.2","1.3","4.2","16556"
"Trea Turner","WSN","122","569","19","96","57","35","7.6%","19.9%",".200",".348",".298",".353",".497",".356",".339","118","6.5","19.7","5.1","4.2","16252"
"Justin Turner","LAD","135","549","27","80","67","2","9.3%","16.0%",".219",".304",".290",".372",".509",".370",".377","131","-1.1","21.4","3.0","4.1","5235"
"Matt Olson","OAK","127","547","36","73","91","0","9.3%","25.2%",".277",".300",".267",".351",".545",".368",".388","135","-0.5","23.7","-1.7","4.1","14344"
"Bryce Harper","PHI","157","682","35","98","114","15","14.5%","26.1%",".250",".313",".260",".372",".510",".365",".387","124","-0.6","21.2","-2.1","4.0","11579"
"Jonathan Villar","BAL","162","714","24","111","73","40","8.5%","24.6%",".179",".341",".274",".339",".453",".335",".315","107","10.5","16.8","-2.0","3.9","10071"
"Michael Brantley","HOU","148","637","22","88","90","3","8.0%","10.4%",".191",".320",".311",".372",".503",".367",".357","132","0.0","26.3","-8.8","3.9","4106"
"Yuli Gurriel","HOU","144","612","31","85","104","5","6.0%","10.6%",".243",".289",".298",".343",".541",".364",".321","131","-2.6","21.4","-3.6","3.9","19198"
"Max Kepler","MIN","134","596","36","98","90","1","10.1%","16.6%",".267",".244",".252",".336",".519",".355",".343","122","-1.8","14.9","2.3","3.8","12144"
"Anthony Rizzo","CHC","146","613","27","89","94","5","11.6%","14.0%",".227",".306",".293",".405",".520",".390",".388","140","-5.4","27.2","-8.0","3.8","3473"
"Jorge Soler","KCR","162","679","48","95","117","3","10.8%","26.2%",".304",".294",".265",".354",".569",".378",".396","136","-0.7","30.4","-16.4","3.7","14221"
"Paul DeJong","STL","159","664","30","97","78","9","9.3%","22.4%",".211",".259",".233",".318",".444",".322",".331","101","2.3","3.0","13.7","3.7","18015"
"Starling Marte","PIT","132","586","23","97","82","25","4.3%","16.0%",".208",".319",".295",".342",".503",".353",".362","118","3.4","17.3","1.3","3.6","9241"
"Corey Seager","LAD","134","541","19","82","87","1","8.1%","18.1%",".211",".303",".272",".335",".483",".340",".331","112","3.4","11.7","8.3","3.6","13624"
"Gleyber Torres","NYY","144","604","38","96","90","5","7.9%","21.4%",".256",".296",".278",".337",".535",".358",".340","125","-0.5","18.8","-4.0","3.6","16997"
"Kolten Wong","STL","148","549","11","61","59","24","8.6%","15.1%",".138",".321",".285",".361",".423",".334",".297","109","7.1","13.6","5.5","3.6","12532"
"Christian Vazquez","BOS","138","521","23","66","72","4","6.3%","19.4%",".201",".305",".276",".320",".477",".331",".313","102","-4.2","-3.2","20.6","3.5","9774"
"J.D. Martinez","BOS","146","657","36","98","105","2","11.0%","21.0%",".252",".342",".304",".383",".557",".386",".396","139","-4.6","27.8","-15.4","3.5","6184"
"Jose Ramirez","CLE","129","542","23","68","83","24","9.6%","13.7%",".224",".256",".255",".327",".479",".334",".342","108","6.7","12.2","4.2","3.5","13510"
"Victor Robles","WSN","155","617","17","86","65","28","5.7%","22.7%",".165",".310",".255",".326",".419",".317",".294","92","4.2","-2.4","18.3","3.5","18363"
"Paul Goldschmidt","STL","161","682","34","97","97","3","11.4%","24.3%",".216",".303",".260",".346",".476",".346",".359","117","3.2","18.1","-4.5","3.4","9218"
"Bryan Reynolds","PIT","134","546","16","83","68","3","8.4%","22.2%",".189",".387",".314",".377",".503",".371",".359","130","0.7","22.3","-4.6","3.4","19326"
"Trey Mancini","BAL","154","679","35","106","97","1","9.3%","21.1%",".244",".326",".291",".364",".535",".373",".362","132","-2.1","25.9","-15.4","3.4","15149"
"Brett Gardner","NYY","141","550","28","86","74","10","9.5%","19.6%",".253",".265",".251",".325",".503",".344",".298","115","4.6","15.4","-0.8","3.3","9927"
"Nick Ahmed","ARI","158","625","19","79","82","8","8.3%","18.1%",".183",".280",".254",".316",".437",".315",".321","91","2.2","-5.3","19.5","3.3","12147"
"Willy Adames","TBR","152","584","20","69","52","4","7.9%","26.2%",".164",".320",".254",".317",".418",".313",".320","99","2.2","1.2","11.7","3.3","15986"
"Jorge Polanco","MIN","153","704","22","107","79","4","8.5%","16.5%",".190",".328",".295",".356",".485",".352",".341","120","3.1","21.2","-12.9","3.3","13152"
"Christian Walker","ARI","152","603","29","86","73","8","11.1%","25.7%",".217",".312",".259",".348",".476",".346",".364","111","2.6","11.4","2.7","3.2","13419"
"David Fletcher","LAA","154","653","6","83","49","8","8.4%","9.8%",".094",".317",".290",".350",".384",".318",".319","96","-0.8","-3.9","12.1","3.1","17992"
"Whit Merrifield","KCR","162","735","16","105","74","20","6.1%","17.1%",".160",".350",".302",".348",".463",".340",".324","110","1.5","10.9","-5.8","3.1","11281"
"Tommy Pham","TBR","145","654","21","77","68","25","12.4%","18.8%",".176",".316",".273",".369",".450",".349",".354","123","0.6","19.9","-11.9","3.1","2967"
